symbol,month_start,month_end,direction,raw_momentum,vol_annualised,target_weight,month_return_unweighted,month_return_weighted
GBPUSD,2020-11-02,2020-12-01,BUY,0.005496387643248557,0.09532266066078994,1.049068493333968,0.03896124006999413,0.04087300941865176
GBPUSD,2020-12-01,2021-01-04,BUY,0.01703059747307467,0.0876411490610602,1.1410165324319208,0.01113379935313663,0.012703849130708721
GBPUSD,2021-01-04,2021-02-01,BUY,0.04243336893136762,0.09139989867708251,1.0940931165941639,0.006788030660377364,0.0074267376207490104
GBPUSD,2021-02-01,2021-03-01,BUY,0.05491543748552008,0.0777968075380162,1.2853997890740438,0.019370282794415772,0.024898557418246613
GBPUSD,2021-03-01,2021-04-01,BUY,0.0810850678943813,0.07701928303741062,1.2983761475866626,-0.006685960918368039,-0.00868089218010568
GBPUSD,2021-04-01,2021-05-03,BUY,0.11239253343627609,0.06370180125099036,1.5698143229261563,0.005530813499522891,0.008682350248984371
GBPUSD,2021-05-03,2021-06-01,BUY,0.13465115520167092,0.06646572652014363,1.50453482171286,0.0172058009361451,0.025886726643890027
GBPUSD,2021-06-01,2021-07-01,BUY,0.1098872649391609,0.06608718533453818,1.5131526557500168,-0.02717107030267052,-0.04111397718805631
GBPUSD,2021-07-01,2021-08-02,BUY,0.09057052297939783,0.06811430706306654,1.4681203452221974,0.009016929448521394,0.013237937574807426
GBPUSD,2021-08-02,2021-09-01,BUY,0.06439028129071822,0.06421452253652017,1.55728012994456,-0.00859070648299498,-0.013378136508153999
GBPUSD,2021-09-01,2021-10-01,BUY,0.07530694492174095,0.06585430322000892,1.5185036529187115,-0.016349743604642697,-0.024827145387934277
GBPUSD,2021-10-01,2021-11-01,BUY,0.03680140866636039,0.0664253401280825,1.5054495740206713,0.008986391192302712,0.01352855879243523
GBPUSD,2021-11-01,2021-12-01,BUY,0.02978325746842314,0.06401490251909574,1.5621362536664,-0.028468136178683268,-0.04447110759903319
GBPUSD,2021-12-01,2022-01-03,SELL,-0.0011662114679968916,0.06824004028571938,1.4654153130816225,-0.01507574970694292,-0.022092234476739938
GBPUSD,2022-01-03,2022-02-01,SELL,-0.015168563954932601,0.06256568502530374,1.5983202287253233,-0.003209584381008712,-0.00512994364196707
GBPUSD,2022-02-01,2022-03-01,SELL,-0.02391487948719795,0.05601089650330621,1.7853668882821259,0.014868019123529974,0.02654486903749585
GBPUSD,2022-03-01,2022-04-01,SELL,-0.04272699840501193,0.05719196365843935,1.7484974042370343,0.016253775513317192,0.02841968429408658
GBPUSD,2022-04-01,2022-05-02,SELL,-0.048376677578335414,0.06612876336950964,1.5122012707424612,0.04972057198674129,0.0751875121403922
GBPUSD,2022-05-02,2022-06-01,SELL,-0.11100829928680234,0.08021206554832405,1.246695236139439,0.00038446135362435463,0.00047930613804320315
GBPUSD,2022-06-01,2022-07-01,SELL,-0.11506620169544379,0.10072727557259394,0.992779755349684,0.032398372639169004,0.0321644484624421
GBPUSD,2022-07-01,2022-08-01,SELL,-0.12749363289394888,0.12120971346505746,0.8250163880539836,-0.012662981801556228,-0.010447167507913245
GBPUSD,2022-08-01,2022-09-01,SELL,-0.11288558619241096,0.10898641561749595,0.9175455439415945,0.06099166681103929,0.055962632100039544
GBPUSD,2022-09-01,2022-10-03,SELL,-0.163906049698348,0.10357993333311141,0.9654379644984091,0.019598491472580637,0.01892112771452768
GBPUSD,2022-10-03,2022-11-01,SELL,-0.17181979767834799,0.13112941878075624,0.762605378181356,-0.014432325623906506,-0.011006169140455695
GBPUSD,2022-11-01,2022-12-01,SELL,-0.14347809878844353,0.16164867822334367,0.6186255347033145,-0.062578539371685,-0.038712682379761054
GBPUSD,2022-12-01,2023-01-02,SELL,-0.07362612442361471,0.1929152388722777,0.5183623677661174,0.01736704909595055,0.009002424690487336
GBPUSD,2023-01-02,2023-02-01,SELL,-0.1210717178276699,0.15699520060835204,0.6369621466930376,-0.02646828251153699,-0.016859294047826386
GBPUSD,2023-02-01,2023-03-01,SELL,-0.08550501840327551,0.1204806389920666,0.8300088780786165,0.02890476230073946,0.023991209328365848
GBPUSD,2023-03-01,2023-04-03,SELL,-0.07522358677012286,0.09802917180874052,1.0201045072083712,-0.03152884708307835,-0.032162719016531734
GBPUSD,2023-04-03,2023-05-01,SELL,-0.05033154115010752,0.09632229537286349,1.0381812394825116,-0.00609922038836519,-0.006332096182669979
GBPUSD,2023-05-01,2023-06-01,BUY,0.024376644993071572,0.09051733289736458,1.1047607877862198,0.0025933692989899004,0.002865052709772679
GBPUSD,2023-06-01,2023-07-03,BUY,0.04416472157385787,0.07662588313819385,1.3050420550409998,0.013164827795430156,0.017180653920409045
GBPUSD,2023-07-03,2023-08-01,BUY,0.07330914503674757,0.0707385032813539,1.4136572780210235,0.006563861725515707,0.009279050900198912
GBPUSD,2023-08-01,2023-09-01,BUY,0.05262290488982657,0.07677799424796113,1.3024565304095002,-0.014834820729607068,-0.019321709136730952
GBPUSD,2023-09-01,2023-10-02,BUY,0.09058686910704372,0.07252662421974192,1.378804005781642,-0.03958043625094376,-0.05457366405338618
GBPUSD,2023-10-02,2023-11-01,BUY,0.0674485767528945,0.06744975728380026,1.4825850236827687,0.005080090018533268,0.007531665380437741
GBPUSD,2023-11-01,2023-12-01,BUY,0.03322219576089536,0.06372191255362605,1.5693188730932022,0.04624705708029442,0.07257637950112464
GBPUSD,2023-12-01,2024-01-02,BUY,0.022856039144991014,0.08076408976651941,1.2381740485045967,-0.007364511865046941,-0.009118547471205309
GBPUSD,2024-01-02,2024-02-01,BUY,0.03342917291262215,0.0859795699568231,1.1630669942896625,0.010058655675332817,0.011698890422903995
GBPUSD,2024-02-01,2024-03-01,BUY,0.049826579118642744,0.07375295092381325,1.3558779512876704,-0.007219706660179348,-0.009789041075301924
GBPUSD,2024-03-01,2024-04-01,BUY,0.041072104544182864,0.060160801445176486,1.6622118987415468,-0.007928289686899737,-0.013178497454234635
GBPUSD,2024-04-01,2024-05-01,BUY,0.005302617666848253,0.05145002358240281,1.9436337058201563,-0.0020238076267270477,-0.003933540717402587
GBPUSD,2024-05-01,2024-06-03,BUY,0.006193716310119779,0.05703417417197335,1.7533347585339476,0.02249864273624369,0.039447652329293384
GBPUSD,2024-06-03,2024-07-01,BUY,0.011563433012653501,0.058807066585498245,1.7004759088707868,-0.012297962052002731,-0.020912388197637792
GBPUSD,2024-07-01,2024-08-01,SELL,-0.025972525949425562,0.05616921878015359,1.7803345350306574,-0.006838559741218164,-0.012174924077161014
GBPUSD,2024-08-01,2024-09-02,BUY,0.004376591936030794,0.05330173878267519,1.8761114043150742,0.03206507231129185,0.06015764784340216
GBPUSD,2024-09-02,2024-10-01,BUY,0.05246723299999201,0.0611554168014585,1.6351781286137044,0.0106352225180677,0.01739048325448427
GBPUSD,2024-10-01,2024-11-01,BUY,0.09122570682262476,0.06630183530704209,1.5082538746763583,-0.027896543418041597,-0.0420750697003385
GBPUSD,2024-11-01,2024-12-02,BUY,0.03325999119894396,0.06626752971038481,1.5090346725921333,-0.020620712084372217,-0.031117369508857275
GBPUSD,2024-12-02,2025-01-02,BUY,0.002401407557697244,0.07442249586284763,1.3436797414627004,-0.022153875346895613,-0.02976771349851359
GBPUSD,2025-01-02,2025-02-03,SELL,-0.02821604802464095,0.07292432645827629,1.3712845199498014,-0.0065306450317293985,-0.008955372437297604
